"concept"	"list"	"set.number"	"response.number"	"right.answer"	"x"	"n"	"p"	"lower"	"upper"	"p.value"
"hg07"	"L2"	14	4	TRUE	19	20	0.95	NA	NA	NA
"hg07"	"L2"	14	5	FALSE	1	20	0.05	NA	NA	NA
"hg07"	"L2"	15	1	TRUE	20	20	1	NA	NA	NA
"hg07"	"L2"	15	2	FALSE	0	20	0	NA	NA	NA
"hg07"	"L2"	15	3	TRUE	20	20	1	NA	NA	NA
"hg07"	"L2"	15	4	TRUE	20	20	1	NA	NA	NA
"hg07"	"L2"	16	1	FALSE	1	20	0.05	NA	NA	NA
"hg07"	"L2"	16	2	FALSE	0	20	0	NA	NA	NA
"hg07"	"L2"	16	3	TRUE	20	20	1	NA	NA	NA
"hg07"	"L2"	16	4	TRUE	20	20	1	NA	NA	NA
"hg07"	"L2"	17	1	TRUE	20	20	1	NA	NA	NA
"hg07"	"L2"	17	2	FALSE	1	20	0.05	NA	NA	NA
"hg07"	"L2"	18	1	TRUE	20	20	1	NA	NA	NA
"hg07"	"L2"	18	2	TRUE	20	20	1	NA	NA	NA
"hg07"	"L2"	18	3	TRUE	19	20	0.95	NA	NA	NA
"hg07"	"L2"	18	4	FALSE	0	20	0	NA	NA	NA
"hg07"	"L2"	19	1	TRUE	20	20	1	NA	NA	NA
"hg07"	"L2"	20	1	FALSE	0	20	0	NA	NA	NA
"hg07"	"L2"	20	2	FALSE	0	20	0	NA	NA	NA
"hg07"	"L2"	20	3	TRUE	20	20	1	NA	NA	NA
"hg07"	"L2"	20	4	TRUE	20	20	1	NA	NA	NA
"hg07"	"L2"	20	5	TRUE	20	20	1	NA	NA	NA
"hg07"	"L2"	21	1	TRUE	20	20	1	NA	NA	NA
"hg07"	"L2"	22	1	TRUE	20	20	1	NA	NA	NA
"hg07"	"L2"	22	2	FALSE	0	20	0	NA	NA	NA
"hg07"	"L2"	22	3	TRUE	20	20	1	NA	NA	NA
"hg07"	"L2"	23	1	TRUE	19	19	1	NA	NA	NA
"hg07"	"L2"	23	2	TRUE	19	20	0.95	NA	NA	NA
"hg07"	"L2"	23	3	TRUE	20	20	1	NA	NA	NA
"hg07"	"L2"	23	4	TRUE	20	20	1	NA	NA	NA
"hg07"	"L2"	24	1	TRUE	20	20	1	NA	NA	NA
"hg07"	"L2"	25	1	TRUE	20	20	1	NA	NA	NA
"hg07"	"L2"	25	2	TRUE	20	20	1	NA	NA	NA
"hg08"	"L2"	1	1	TRUE	10	23	0.434782608695652	NA	NA	NA
"hg08"	"L2"	1	2	FALSE	5	23	0.217391304347826	NA	NA	NA
"hg08"	"L2"	2	1	TRUE	9	22	0.409090909090909	NA	NA	NA
"hg08"	"L2"	2	2	TRUE	8	23	0.347826086956522	NA	NA	NA
"hg08"	"L2"	2	3	TRUE	21	22	0.954545454545455	NA	NA	NA
"hg08"	"L2"	2	4	TRUE	2	23	0.0869565217391304	NA	NA	NA
"hg08"	"L2"	3	1	FALSE	5	23	0.217391304347826	NA	NA	NA
"hg08"	"L2"	3	2	TRUE	19	23	0.826086956521739	NA	NA	NA
"hg08"	"L2"	4	1	TRUE	16	23	0.695652173913043	NA	NA	NA
"hg08"	"L2"	5	1	FALSE	1	22	0.0454545454545455	NA	NA	NA
"hg08"	"L2"	5	2	TRUE	22	22	1	NA	NA	NA
"hg08"	"L2"	5	3	FALSE	2	23	0.0869565217391304	NA	NA	NA
"hg08"	"L2"	5	4	TRUE	22	22	1	NA	NA	NA
"hg08"	"L2"	6	1	TRUE	20	23	0.869565217391304	NA	NA	NA
